client_id,signup_date,weight,age,is_mom,spendiness_top,dress_size,boho_score_inferred,casual_score_inferred,classic_score_inferred,glam_score_inferred,romantic_score_inferred,edgy_score_inferred,preppy_score_inferred,profession,shipping_state,spendiness_bottom,business_score,laidback_score,cocktail_score,nightout_score
75,44:34.0,140,37,t,50_100,M,3,9,5,4,5,7,8,Medicine,FL,50_100,6,8,2,6
76,16:28.0,150,29,f,50_100,L,5,7,4,5,7,2,5,Other,MA,100_150,9,5,3,4
77,15:30.5,130,21,f,cheaper_the_better,S,7,7,8,6,8,2,5,Student,NE,50_100,7,7,4,8
78,50:50.7,175,31,f,cheaper_the_better,L,8,8,7,7,7,7,4,Finance,NY,cheaper_the_better,9,5,6,8
79,07:55.8,130,23,f,50_100,S,9,9,6,2,2,6,4,Client Services,TX,50_100,7,8,6,7
80,36:11.4,160,31,f,50_100,XL,6,8,5,7,6,5,4,Marketing,NC,50_100,8,8,6,7
81,42:22.3,160,43,t,50_100,M,4,8,4,2,4,4,4,Marketing,NC,50_100,5,6,6,3
82,11:06.3,138,48,,50_100,S,3,5,4,7,5,8,4,Other,IL,50_100,5,6,8,6
83,33:14.7,125,26,f,50_100,S,3,7,4,7,6,7,2,Marketing,MN,50_100,5,8,6,5
84,42:50.9,105,30,f,cheaper_the_better,XS,6,7,3,4,6,5,3,Other,FL,50_100,6,9,2,5
85,44:17.9,120,27,f,cheaper_the_better,S,5,6,7,6,6,5,5,Fashion,CA,100_150,2,6,4,7
86,06:37.9,120,35,t,cheaper_the_better,S,3,5,5,3,6,7,9,Client Services,MN,100_150,6,7,4,5
87,48:15.9,140,41,t,50_100,M,4,3,7,5,3,3,5,Fashion,NE,50_100,7,7,4,7
88,45:19.1,130,38,t,50_100,M,5,8,7,6,5,8,5,Homemaker,OK,50_100,7,9,4,8
89,42:12.0,135,31,t,50_100,S,4,4,5,4,3,4,6,Homemaker,VA,50_100,8,8,3,3
90,35:49.5,143,30,t,cheaper_the_better,M,5,5,5,5,4,5,6,Finance,PA,50_100,5,7,5,5
91,54:01.3,160,39,t,50_100,M,6,5,8,2,4,6,6,Education,TN,50_100,7,9,5,4
92,10:38.5,194,34,t,cheaper_the_better,L,2,8,5,6,3,5,2,Education,CA,cheaper_the_better,4,8,6,7
93,14:47.2,129,40,t,cheaper_the_better,S,7,7,8,3,2,6,3,Medicine,WA,cheaper_the_better,5,5,5,7
94,33:39.9,168,50,t,cheaper_the_better,L,3,4,3,4,5,2,4,Education,TX,cheaper_the_better,9,7,6,5
